TIME	TYPE	COMMAND	ARG	HOST		ARG
3:01	PEPPER	start_animation	aplot/40Aplotenthusiastic	A_PLOT	aplot/	40Aplotenthusiastic
3:04	PEPPER	start_animation	bplot/40Bplotlistening	B_PLOT	bplot/	40Bplotlistening
3:15	PEPPER	start_animation	aplot/42aplotturn	A_PLOT	aplot/	42aplotturn
3:17	PEPPER	start_animation	bplot/41Bplotdontunderstand	B_PLOT	bplot/	41Bplotdontunderstand
3:18	PEPPER	start_animation	aplot/44aplotdontunderstand	A_PLOT	aplot/	44aplotdontunderstand
3:22	PEPPER	start_animation	aplot/45aplotshakebody	A_PLOT	aplot/	45aplotshakebody
3:22	PEPPER	start_animation	bplot/42Bplotshakebody	B_PLOT	bplot/	42Bplotshakebody
3:23	PEPPER	start_animation	bplot/43whatdidshewhisper	B_PLOT	bplot/	43whatdidshewhisper
3:23	PEPPER	start_animation	aplot/46aplotmoves2bplot	A_PLOT	aplot/	46aplotmoves2bplot
3:25	PEPPER	start_animation	aplot/49helpme	A_PLOT	aplot/	49helpme
2:35	PEPPER	start_animation	bplot/44movestocentreofportraitscreen	B_PLOT	bplot/	44movestocentreofportraitscreen
3:30	PEPPER	start_animation	aplot/49zaplotturns	A_PLOT	aplot/	49zaplotturns
3:32	PEPPER	start_animation	aplot/50.0waitshesaid	A_PLOT	aplot/	50.0waitshesaid
3:37	PEPPER	start_animation	bplot/45turnstoupstagescreen	B_PLOT	bplot/	45turnstoupstagescreen
3:39	PEPPER	start_animation	aplot/50Aplotturnportraitscreen	A_PLOT	aplot/	50Aplotturnportraitscreen
3:39	PEPPER	start_animation	bplot/46turnsheadtoC3	B_PLOT	bplot/	46turnsheadtoC3
3:40	PEPPER	start_animation	bplot/47severalscreenconfirming	B_PLOT	bplot/	47severalscreenconfirming
3:43	PEPPER	start_animation	aplot/51movesback	A_PLOT	aplot/	51movesback
3:48	PEPPER	start_animation	aplot/52whatsthis	A_PLOT	aplot/	52whatsthis
3:48	PEPPER	start_animation	bplot/49Bplotyouknowwhat (ADD MOVE)	B_PLOT	bplot/	49Bplotyouknowwhat (ADD MOVE)
3:49	PEPPER	start_animation	bplot/50changedsomething	B_PLOT	bplot/	50changedsomething
3:57	PEPPER	start_animation	aplot/53aplotstops	A_PLOT	aplot/	53aplotstops
4:00	PEPPER	start_animation	aplot/55aplotschoked(ADD TURN)	A_PLOT	aplot/	55aplotschoked(ADD TURN)
4:05	PEPPER	start_animation	aplot/56aplotangry	A_PLOT	aplot/	56aplotangry
4:06	PEPPER	start_animation	aplot/57human	A_PLOT	aplot/	57human
4:19	PEPPER	start_animation	aplot/58movestoc6	A_PLOT	aplot/	58movestoc6
4:19	PEPPER	start_animation	bplot/51Bplotcount5	B_PLOT	bplot/	51Bplotcount5
4:25	PEPPER	start_animation	aplot/59aplotplease	A_PLOT	aplot/	59aplotplease
4:29	PEPPER	start_animation	aplot/61wecantanymore	A_PLOT	aplot/	61wecantanymore
4:31	PEPPER	start_animation	bplot/55privacychannelworkflow + (ADD TURN&MOVE)	B_PLOT	bplot/	55privacychannelworkflow + (ADD TURN&MOVE)
4:34	PEPPER	start_animation	aplot/62movec3-c5	A_PLOT	aplot/	62movec3-c5
